id,name,sex,age,team,noc,year,season,city,sport,event,medal
295,Anna Schmidt,F,36,UKR,USA,2000,Winter,London,Rowing,100m freestyle,Silver
296,Liu Wei,M,28,USA,BRA,2008,Winter,Tokyo,Rowing,Lightweight Boxing,Gold
297,Carlos Gomez,F,30,GER,FRA,2004,Summer,London,Judo,100m freestyle,Bronze
298,Carlos Gomez,M,27,USA,GER,2020,Summer,London,Judo,Lightweight Boxing,
299,Liu Wei,M,31,FRA,UKR,2012,Summer,Rio,Judo,Marathon,Silver
300,Carlos Gomez,M,35,CHN,CHN,2008,Winter,London,Boxing,Marathon,Bronze
301,Liu Wei,M,36,BRA,GER,2000,Summer,Tokyo,Rowing,Judo -60kg,
302,Maria Ivanova,F,39,BRA,FRA,2016,Summer,Tokyo,Boxing,Judo -60kg,
303,Liu Wei,M,26,UKR,CHN,2004,Summer,Beijing,Athletics,Lightweight Boxing,Silver
304,Tom Lee,M,24,BRA,GER,2008,Summer,Athens,Judo,Lightweight Boxing,Bronze
305,Liu Wei,F,20,BRA,USA,2012,Summer,London,Cycling,Marathon,Gold
306,Carlos Gomez,F,37,FRA,BRA,2000,Summer,Athens,Swimming,Sprint,Bronze
307,Tom Lee,F,23,BRA,FRA,2000,Summer,Athens,Athletics,Lightweight Boxing,Silver
308,Carlos Gomez,M,38,CHN,CHN,2020,Summer,Athens,Swimming,Lightweight Boxing,Gold
309,John Doe,F,19,BRA,FRA,2008,Summer,Athens,Swimming,Sprint,Silver
310,John Doe,F,23,CAN,GER,2012,Summer,Tokyo,Judo,Judo -60kg,Gold
311,Tom Lee,M,20,BRA,BRA,2000,Summer,London,Cycling,Judo -60kg,Bronze
312,Maria Ivanova,F,33,BRA,FRA,2004,Summer,Beijing,Swimming,Lightweight Boxing,Silver
313,John Doe,F,25,USA,CHN,2000,Summer,Athens,Rowing,Judo -60kg,Bronze
314,Liu Wei,F,19,CHN,UKR,2012,Summer,Beijing,Swimming,Judo -60kg,Gold
315,Carlos Gomez,F,34,UKR,GER,2016,Summer,Tokyo,Athletics,Double Sculls,Gold
316,John Doe,M,26,USA,UKR,2016,Summer,Tokyo,Cycling,Judo -60kg,Bronze
317,John Doe,F,29,GER,USA,2020,Summer,Rio,Cycling,Marathon,
318,Maria Ivanova,F,20,CHN,UKR,2008,Summer,Athens,Swimming,100m freestyle,Gold
319,Tom Lee,M,28,CAN,UKR,2012,Winter,Rio,Cycling,Lightweight Boxing,Silver
320,Tom Lee,F,18,CHN,CAN,2020,Summer,Beijing,Athletics,Lightweight Boxing,
321,Kate Novak,M,30,GER,GER,2000,Summer,London,Athletics,Marathon,Gold
322,Maria Ivanova,F,32,GER,USA,2000,Summer,Rio,Athletics,100m freestyle,
323,Liu Wei,M,22,GER,UKR,2016,Summer,Tokyo,Rowing,100m freestyle,Bronze
324,Tom Lee,M,38,FRA,BRA,2020,Summer,Athens,Judo,Marathon,Silver
325,Carlos Gomez,M,34,UKR,CHN,2016,Summer,Beijing,Swimming,Sprint,Silver
326,Maria Ivanova,M,23,BRA,UKR,2004,Summer,Tokyo,Cycling,Sprint,Silver
327,John Doe,F,38,CHN,USA,2016,Summer,London,Athletics,100m freestyle,Silver
328,Carlos Gomez,M,39,FRA,UKR,2004,Winter,Athens,Swimming,Sprint,
329,Carlos Gomez,F,28,BRA,CHN,2000,Summer,London,Swimming,Sprint,Bronze
330,John Doe,M,35,BRA,USA,2020,Summer,London,Judo,Sprint,Bronze
331,Maria Ivanova,M,21,CAN,GER,2004,Summer,Athens,Rowing,100m freestyle,
332,John Doe,M,20,GER,USA,2020,Summer,Athens,Cycling,Sprint,Silver
333,Kate Novak,F,30,UKR,GER,2020,Winter,London,Rowing,Lightweight Boxing,Bronze
334,Carlos Gomez,M,26,CAN,USA,2004,Summer,Beijing,Cycling,Double Sculls,Silver
335,Anna Schmidt,F,38,USA,FRA,2008,Winter,Athens,Athletics,100m freestyle,
336,Anna Schmidt,F,23,FRA,CHN,2016,Summer,Tokyo,Athletics,Marathon,Silver
337,Liu Wei,F,29,FRA,CHN,2004,Summer,Rio,Swimming,Sprint,Bronze
338,Tom Lee,F,19,UKR,USA,2000,Summer,Beijing,Cycling,Judo -60kg,
339,John Doe,F,20,BRA,FRA,2020,Summer,Athens,Cycling,100m freestyle,Silver
340,John Doe,F,20,FRA,UKR,2012,Summer,Athens,Rowing,Marathon,Gold
341,Liu Wei,F,29,UKR,CHN,2004,Summer,Beijing,Athletics,Double Sculls,Bronze
342,Liu Wei,F,32,FRA,GER,2016,Summer,Rio,Boxing,Lightweight Boxing,Silver
343,Liu Wei,F,26,FRA,GER,2020,Summer,London,Swimming,Marathon,Bronze
344,Carlos Gomez,M,25,GER,BRA,2008,Winter,Tokyo,Cycling,Sprint,
345,Kate Novak,M,28,USA,CAN,2000,Summer,Athens,Judo,Judo -60kg,Silver
346,John Doe,M,33,GER,FRA,2008,Summer,Rio,Judo,Sprint,Silver
347,Carlos Gomez,M,39,USA,CAN,2012,Summer,Tokyo,Boxing,Marathon,Bronze
348,Liu Wei,M,21,FRA,CAN,2004,Summer,Beijing,Athletics,100m freestyle,Gold
349,John Doe,F,18,CAN,GER,2020,Summer,Athens,Athletics,Judo -60kg,Silver
350,Carlos Gomez,F,24,BRA,BRA,2004,Winter,London,Athletics,Judo -60kg,
351,Kate Novak,F,19,FRA,CAN,2016,Winter,Beijing,Rowing,Marathon,Bronze
352,Carlos Gomez,F,22,USA,CAN,2004,Summer,Athens,Judo,Double Sculls,Gold
353,Kate Novak,F,24,USA,USA,2000,Winter,Rio,Athletics,Double Sculls,Gold
354,Liu Wei,F,21,USA,USA,2012,Summer,Tokyo,Judo,Sprint,Bronze
355,Kate Novak,F,22,FRA,USA,2008,Summer,Tokyo,Boxing,Marathon,
356,John Doe,M,18,UKR,UKR,2012,Summer,Athens,Swimming,Judo -60kg,
357,Liu Wei,M,18,CAN,CAN,2020,Summer,Beijing,Rowing,Marathon,Silver
358,John Doe,M,32,UKR,UKR,2004,Summer,London,Cycling,Judo -60kg,
359,Anna Schmidt,M,37,BRA,BRA,2020,Summer,Rio,Boxing,Sprint,Bronze
360,Maria Ivanova,F,36,FRA,FRA,2008,Summer,Athens,Judo,100m freestyle,Bronze
361,Kate Novak,F,27,USA,GER,2020,Summer,Rio,Boxing,100m freestyle,Bronze
362,Maria Ivanova,F,35,CAN,CAN,2016,Summer,Tokyo,Cycling,Marathon,Gold
363,Maria Ivanova,M,20,CAN,GER,2012,Winter,London,Rowing,Judo -60kg,
364,Kate Novak,F,28,CHN,FRA,2008,Summer,Rio,Swimming,100m freestyle,Gold
365,Liu Wei,F,32,BRA,USA,2008,Summer,Athens,Cycling,Judo -60kg,Silver
366,Anna Schmidt,F,28,CAN,CAN,2008,Summer,London,Rowing,Sprint,
367,John Doe,M,34,FRA,CHN,2000,Summer,Beijing,Judo,Marathon,Bronze
368,Carlos Gomez,F,34,USA,UKR,2012,Summer,Athens,Cycling,Judo -60kg,
369,John Doe,M,23,USA,UKR,2020,Summer,Rio,Boxing,Marathon,Bronze
370,Carlos Gomez,M,22,CAN,CAN,2008,Summer,London,Athletics,Judo -60kg,Silver
371,John Doe,M,25,UKR,FRA,2012,Summer,Athens,Boxing,Double Sculls,
372,Kate Novak,M,19,BRA,USA,2008,Summer,London,Judo,Double Sculls,Gold
373,Anna Schmidt,F,33,USA,UKR,2016,Summer,London,Swimming,Judo -60kg,
374,Carlos Gomez,M,37,CAN,USA,2016,Summer,London,Cycling,Sprint,Gold
375,Tom Lee,M,29,USA,BRA,2016,Summer,Rio,Swimming,Marathon,
376,Liu Wei,F,23,CAN,GER,2004,Winter,Athens,Judo,Lightweight Boxing,Gold
377,John Doe,F,18,BRA,FRA,2008,Summer,Tokyo,Cycling,Judo -60kg,Bronze
378,John Doe,M,21,CAN,CHN,2004,Winter,Tokyo,Rowing,Judo -60kg,
379,Carlos Gomez,F,34,CHN,GER,2012,Summer,Rio,Rowing,Double Sculls,Silver
380,Liu Wei,M,30,CAN,GER,2004,Winter,Rio,Boxing,100m freestyle,Bronze
381,Liu Wei,M,35,CAN,BRA,2012,Summer,London,Boxing,Double Sculls,
382,Kate Novak,M,22,FRA,UKR,2012,Summer,Athens,Judo,Marathon,Bronze
383,Tom Lee,M,20,BRA,CHN,2012,Winter,Athens,Rowing,Double Sculls,
384,Kate Novak,F,28,FRA,UKR,2020,Summer,Beijing,Cycling,Lightweight Boxing,Silver
385,Kate Novak,M,30,CAN,CAN,2004,Summer,Beijing,Rowing,Sprint,Gold
386,Kate Novak,F,21,BRA,GER,2020,Summer,Tokyo,Boxing,Lightweight Boxing,Gold
387,Kate Novak,F,31,CHN,CAN,2008,Summer,Beijing,Judo,Sprint,Gold
388,Kate Novak,F,39,BRA,USA,2004,Winter,Beijing,Rowing,Lightweight Boxing,Gold
389,Anna Schmidt,F,28,USA,GER,2008,Summer,Tokyo,Judo,Double Sculls,Bronze
390,Liu Wei,M,27,FRA,UKR,2008,Summer,Tokyo,Rowing,Lightweight Boxing,Gold
391,Kate Novak,F,36,BRA,GER,2012,Summer,Beijing,Swimming,Double Sculls,Gold
392,Liu Wei,M,35,CHN,USA,2004,Summer,Athens,Rowing,Double Sculls,Gold
393,Liu Wei,F,23,GER,BRA,2008,Summer,Beijing,Boxing,Marathon,
394,Maria Ivanova,F,32,CAN,CAN,2016,Summer,London,Cycling,Double Sculls,Bronze
395,Anna Schmidt,M,38,BRA,CAN,2008,Summer,London,Boxing,100m freestyle,Silver
396,Kate Novak,M,27,CAN,UKR,2016,Summer,London,Boxing,Lightweight Boxing,
397,John Doe,M,22,UKR,GER,2004,Winter,Rio,Boxing,Judo -60kg,Gold
398,Carlos Gomez,F,22,USA,UKR,2020,Summer,London,Judo,Judo -60kg,
399,Tom Lee,F,27,FRA,BRA,2004,Summer,Athens,Athletics,Judo -60kg,Bronze
400,John Doe,M,22,USA,GER,2020,Summer,Rio,Athletics,100m freestyle,Gold
401,Anna Schmidt,M,20,UKR,GER,2020,Summer,Rio,Swimming,Double Sculls,Bronze
402,Carlos Gomez,M,23,UKR,UKR,2004,Summer,London,Boxing,Lightweight Boxing,
403,Anna Schmidt,M,21,FRA,UKR,2008,Winter,Beijing,Athletics,Sprint,Silver
404,Liu Wei,F,35,BRA,USA,2000,Summer,Tokyo,Swimming,Sprint,
405,Carlos Gomez,M,26,UKR,FRA,2008,Winter,Beijing,Judo,Marathon,Gold
406,Liu Wei,M,34,GER,FRA,2008,Summer,Beijing,Boxing,100m freestyle,Silver
407,John Doe,M,30,CAN,BRA,2012,Summer,Rio,Cycling,Lightweight Boxing,Gold
408,John Doe,M,32,CAN,FRA,2012,Summer,Rio,Judo,Double Sculls,Gold
409,Carlos Gomez,F,37,CHN,USA,2008,Summer,Rio,Swimming,Judo -60kg,Gold
410,Carlos Gomez,M,34,UKR,CAN,2016,Summer,Athens,Judo,100m freestyle,
411,Kate Novak,F,30,UKR,GER,2020,Winter,Athens,Cycling,100m freestyle,Gold
412,Anna Schmidt,M,33,GER,UKR,2012,Summer,Tokyo,Judo,Lightweight Boxing,Silver
413,Kate Novak,M,39,USA,GER,2008,Winter,Rio,Swimming,Double Sculls,Bronze
414,Anna Schmidt,F,21,USA,GER,2000,Summer,London,Cycling,Marathon,
415,Kate Novak,M,22,CAN,CHN,2016,Summer,Rio,Cycling,Double Sculls,
416,Liu Wei,F,22,CAN,CAN,2004,Summer,Athens,Judo,Marathon,
417,Carlos Gomez,F,26,BRA,CHN,2008,Summer,Rio,Cycling,Marathon,
418,John Doe,M,34,FRA,FRA,2008,Winter,Athens,Judo,Judo -60kg,
419,Anna Schmidt,F,30,GER,GER,2020,Summer,Rio,Boxing,Judo -60kg,
420,Anna Schmidt,F,19,FRA,UKR,2016,Summer,London,Cycling,Lightweight Boxing,Bronze
421,John Doe,F,30,FRA,GER,2012,Summer,Tokyo,Judo,Double Sculls,Gold
422,Kate Novak,F,39,CHN,CAN,2012,Summer,London,Boxing,Marathon,Silver
423,Anna Schmidt,F,38,FRA,CHN,2012,Summer,Athens,Cycling,Lightweight Boxing,Bronze
424,Tom Lee,F,36,CHN,UKR,2004,Summer,Beijing,Boxing,Marathon,Silver
425,Liu Wei,F,20,FRA,GER,2016,Summer,London,Rowing,100m freestyle,Silver
426,Carlos Gomez,F,27,GER,BRA,2016,Summer,Rio,Cycling,Sprint,Bronze
427,John Doe,M,19,CHN,CAN,2012,Summer,Tokyo,Rowing,Sprint,
428,Carlos Gomez,M,30,USA,CAN,2012,Summer,Rio,Swimming,Marathon,Gold
429,Tom Lee,F,36,CHN,BRA,2020,Summer,Rio,Swimming,Lightweight Boxing,
430,Anna Schmidt,M,34,CHN,GER,2000,Summer,London,Judo,Judo -60kg,Bronze
431,Anna Schmidt,F,38,GER,CAN,2000,Summer,Tokyo,Athletics,Double Sculls,
432,Tom Lee,F,31,GER,UKR,2008,Summer,Beijing,Rowing,Marathon,
433,John Doe,M,29,CHN,GER,2008,Summer,Rio,Rowing,Marathon,
434,Liu Wei,F,38,UKR,GER,2016,Summer,Tokyo,Swimming,Double Sculls,Bronze
435,Maria Ivanova,F,29,GER,CHN,2016,Summer,Beijing,Rowing,Judo -60kg,Gold
436,John Doe,F,28,BRA,CAN,2004,Summer,Rio,Athletics,Marathon,Bronze
437,Maria Ivanova,F,24,BRA,CAN,2004,Summer,Tokyo,Boxing,100m freestyle,
438,Tom Lee,M,21,USA,BRA,2000,Winter,London,Boxing,Judo -60kg,
439,Kate Novak,F,36,FRA,CHN,2008,Summer,Rio,Athletics,100m freestyle,
440,Maria Ivanova,F,18,CHN,FRA,2000,Summer,Rio,Rowing,Sprint,Gold
441,Liu Wei,F,20,UKR,CHN,2000,Summer,Tokyo,Rowing,Double Sculls,Bronze
442,Kate Novak,M,30,USA,CAN,2008,Summer,Rio,Rowing,Judo -60kg,Silver
443,Maria Ivanova,F,32,CHN,GER,2004,Summer,Beijing,Judo,Judo -60kg,Gold
444,Tom Lee,M,19,GER,CHN,2020,Summer,Rio,Cycling,Lightweight Boxing,Gold
445,Kate Novak,M,28,BRA,BRA,2020,Summer,Athens,Athletics,Lightweight Boxing,Gold
446,Tom Lee,F,21,CAN,CHN,2020,Summer,Beijing,Athletics,Double Sculls,
447,Maria Ivanova,F,36,UKR,BRA,2008,Summer,Tokyo,Athletics,Judo -60kg,Silver
448,Tom Lee,M,34,CAN,FRA,2012,Summer,Beijing,Athletics,Sprint,Silver
449,Liu Wei,F,20,BRA,CHN,2012,Summer,Athens,Athletics,Marathon,
450,Maria Ivanova,M,35,FRA,BRA,2012,Summer,Athens,Rowing,Double Sculls,Silver
451,Maria Ivanova,M,25,FRA,CHN,2016,Summer,Rio,Judo,Double Sculls,Gold
452,Maria Ivanova,F,39,CAN,FRA,2004,Summer,Rio,Swimming,Lightweight Boxing,Silver
453,John Doe,F,36,GER,CHN,2004,Winter,London,Rowing,Sprint,Gold
454,John Doe,M,22,CHN,UKR,2016,Summer,Beijing,Rowing,Double Sculls,Gold
455,John Doe,M,24,GER,BRA,2000,Summer,London,Cycling,Sprint,Gold
456,Liu Wei,M,38,CAN,FRA,2020,Summer,Athens,Swimming,Double Sculls,Bronze
457,Kate Novak,M,25,GER,BRA,2012,Winter,Rio,Athletics,Lightweight Boxing,Gold
458,Tom Lee,F,22,BRA,BRA,2020,Summer,Rio,Swimming,Marathon,Silver
459,Anna Schmidt,F,34,UKR,USA,2012,Summer,Rio,Judo,Lightweight Boxing,
460,Maria Ivanova,F,22,GER,FRA,2020,Summer,Tokyo,Boxing,Double Sculls,Silver
461,Tom Lee,F,21,BRA,CHN,2000,Summer,Athens,Rowing,Sprint,
462,Maria Ivanova,F,39,UKR,BRA,2020,Winter,Rio,Swimming,100m freestyle,Silver
463,Liu Wei,M,36,FRA,CAN,2020,Summer,Athens,Cycling,Lightweight Boxing,Silver
464,Maria Ivanova,F,38,CHN,USA,2008,Summer,Rio,Judo,Sprint,
465,John Doe,F,19,CAN,UKR,2020,Winter,Beijing,Boxing,Lightweight Boxing,Gold
466,Anna Schmidt,F,28,FRA,BRA,2008,Summer,Athens,Judo,Double Sculls,Gold
467,Carlos Gomez,F,39,CHN,BRA,2004,Summer,London,Athletics,Sprint,Bronze
468,Maria Ivanova,F,30,FRA,USA,2016,Summer,Tokyo,Boxing,Marathon,Silver
469,Tom Lee,M,32,USA,CHN,2020,Summer,London,Cycling,Sprint,
470,John Doe,M,29,FRA,CAN,2004,Summer,Athens,Boxing,Judo -60kg,
471,Carlos Gomez,M,39,BRA,UKR,2008,Summer,Rio,Cycling,100m freestyle,Silver
472,Anna Schmidt,F,38,UKR,BRA,2020,Summer,Athens,Athletics,Double Sculls,Bronze
473,Carlos Gomez,M,39,FRA,CHN,2020,Summer,Tokyo,Cycling,Sprint,Bronze
474,John Doe,M,28,GER,FRA,2000,Winter,Athens,Judo,Double Sculls,
475,Kate Novak,F,24,CHN,CAN,2004,Summer,Rio,Swimming,Lightweight Boxing,
476,Kate Novak,F,22,FRA,FRA,2012,Winter,London,Judo,Lightweight Boxing,
477,Carlos Gomez,F,34,UKR,CAN,2012,Summer,Beijing,Rowing,Sprint,Silver
478,Liu Wei,M,37,BRA,UKR,2000,Summer,London,Judo,Judo -60kg,
479,Tom Lee,M,26,USA,GER,2008,Winter,Rio,Boxing,Sprint,Silver
480,Tom Lee,F,31,CHN,CAN,2012,Summer,Rio,Athletics,Marathon,Gold
481,Carlos Gomez,F,29,CAN,GER,2012,Summer,Tokyo,Rowing,Judo -60kg,
482,Maria Ivanova,M,23,UKR,FRA,2016,Summer,Athens,Rowing,Double Sculls,Gold
483,Maria Ivanova,M,34,CAN,CAN,2004,Summer,Athens,Rowing,Sprint,
484,Tom Lee,F,36,UKR,UKR,2008,Summer,London,Swimming,Double Sculls,Gold
485,Tom Lee,F,36,UKR,USA,2020,Winter,Beijing,Cycling,100m freestyle,
486,Kate Novak,M,33,BRA,UKR,2004,Summer,Beijing,Boxing,Judo -60kg,Silver
487,Liu Wei,F,29,BRA,UKR,2008,Summer,Tokyo,Athletics,Sprint,Silver
488,John Doe,M,29,BRA,USA,2012,Summer,Rio,Swimming,100m freestyle,Gold
489,Maria Ivanova,M,37,FRA,USA,2016,Summer,Tokyo,Judo,Sprint,Bronze
490,Tom Lee,M,23,GER,CHN,2004,Summer,Athens,Athletics,Marathon,Silver
491,Kate Novak,M,21,UKR,CAN,2012,Summer,Rio,Rowing,Lightweight Boxing,Bronze
492,Anna Schmidt,F,23,CHN,FRA,2008,Summer,Tokyo,Athletics,Double Sculls,Gold
493,Kate Novak,F,28,CAN,CHN,2004,Summer,London,Athletics,Sprint,Gold
494,Maria Ivanova,M,18,BRA,USA,2020,Winter,Athens,Judo,Judo -60kg,Gold
495,Maria Ivanova,M,32,FRA,GER,2004,Summer,Beijing,Cycling,Sprint,Silver
496,Kate Novak,M,28,BRA,FRA,2012,Summer,Tokyo,Boxing,Sprint,
497,John Doe,M,36,CAN,GER,2004,Summer,Athens,Rowing,Sprint,
498,Carlos Gomez,M,35,CAN,UKR,2020,Summer,Athens,Cycling,Sprint,Gold
499,Maria Ivanova,F,34,UKR,BRA,2016,Summer,Beijing,Swimming,Judo -60kg,Bronze
500,Kate Novak,F,36,BRA,UKR,2016,Winter,Beijing,Rowing,Judo -60kg,
501,Tom Lee,F,38,CAN,UKR,2012,Summer,Beijing,Boxing,Sprint,Silver
502,Kate Novak,F,31,GER,BRA,2008,Winter,Tokyo,Swimming,Lightweight Boxing,Silver
503,Liu Wei,M,35,GER,CAN,2012,Summer,Beijing,Judo,Sprint,Bronze
504,Carlos Gomez,M,36,BRA,USA,2016,Winter,London,Cycling,Double Sculls,Gold
505,Anna Schmidt,M,32,FRA,GER,2000,Summer,Athens,Rowing,Double Sculls,Gold
506,John Doe,M,32,CAN,UKR,2000,Winter,Beijing,Athletics,Judo -60kg,Gold
507,Anna Schmidt,M,21,UKR,BRA,2004,Summer,Athens,Boxing,Double Sculls,Bronze
508,Carlos Gomez,F,24,UKR,CHN,2020,Summer,Rio,Rowing,Double Sculls,Gold
509,Carlos Gomez,M,30,FRA,UKR,2004,Winter,Rio,Athletics,Marathon,Gold
510,Carlos Gomez,F,20,UKR,GER,2000,Summer,Beijing,Rowing,Sprint,Silver
511,Anna Schmidt,F,33,USA,USA,2016,Summer,Athens,Swimming,Sprint,Gold
512,Tom Lee,F,26,BRA,UKR,2004,Summer,Rio,Athletics,Sprint,Gold
513,Carlos Gomez,F,25,UKR,UKR,2012,Winter,Beijing,Athletics,Sprint,
514,Kate Novak,M,37,GER,CAN,2020,Summer,Athens,Rowing,100m freestyle,Gold
515,Anna Schmidt,F,30,CAN,BRA,2012,Summer,Beijing,Judo,Sprint,Bronze
516,Carlos Gomez,F,34,CHN,CHN,2020,Summer,Athens,Judo,Judo -60kg,Silver
517,Kate Novak,F,34,FRA,CHN,2016,Summer,Rio,Cycling,Judo -60kg,Bronze
518,Tom Lee,M,34,CHN,FRA,2004,Winter,Beijing,Swimming,100m freestyle,Bronze
519,Liu Wei,M,18,UKR,USA,2020,Summer,Rio,Judo,Sprint,Gold
520,Tom Lee,M,25,CHN,FRA,2012,Summer,Beijing,Rowing,Lightweight Boxing,
521,Carlos Gomez,F,36,CHN,GER,2004,Winter,Tokyo,Judo,Sprint,Silver
522,Anna Schmidt,F,23,USA,USA,2004,Summer,Rio,Cycling,Judo -60kg,
523,Maria Ivanova,M,20,GER,UKR,2012,Summer,Rio,Boxing,Marathon,Silver
524,Carlos Gomez,F,22,FRA,UKR,2000,Summer,London,Cycling,Double Sculls,
525,Maria Ivanova,M,30,GER,CHN,2020,Summer,Rio,Athletics,Marathon,
526,Kate Novak,M,32,USA,GER,2012,Summer,Athens,Athletics,Lightweight Boxing,
527,Liu Wei,F,31,USA,BRA,2016,Summer,Beijing,Judo,Sprint,Bronze
528,John Doe,F,33,CHN,GER,2008,Summer,Tokyo,Judo,100m freestyle,Silver
529,Tom Lee,F,35,BRA,UKR,2012,Summer,Athens,Cycling,Sprint,
530,Liu Wei,F,39,CAN,BRA,2004,Summer,Athens,Cycling,Lightweight Boxing,
531,Carlos Gomez,M,39,CAN,GER,2004,Summer,Athens,Rowing,Lightweight Boxing,
532,Maria Ivanova,M,28,CHN,GER,2012,Summer,Athens,Swimming,Double Sculls,Silver
533,Tom Lee,M,20,CAN,BRA,2008,Summer,Tokyo,Rowing,Lightweight Boxing,
534,Maria Ivanova,M,39,USA,UKR,2012,Summer,London,Athletics,Marathon,Gold
535,Anna Schmidt,M,27,GER,GER,2008,Summer,Rio,Rowing,Double Sculls,Bronze
536,Maria Ivanova,F,27,CAN,BRA,2008,Summer,Athens,Cycling,Sprint,Gold
537,Anna Schmidt,M,38,FRA,CAN,2016,Summer,Rio,Rowing,Sprint,Silver
538,Kate Novak,M,33,CHN,CAN,2020,Summer,Rio,Boxing,100m freestyle,
539,Tom Lee,M,29,BRA,UKR,2004,Summer,Athens,Swimming,Lightweight Boxing,Gold
540,Tom Lee,F,19,CHN,BRA,2004,Summer,London,Cycling,Lightweight Boxing,Bronze
541,John Doe,F,26,UKR,CAN,2008,Summer,Rio,Judo,Judo -60kg,Bronze
542,Carlos Gomez,F,20,CHN,BRA,2004,Winter,Beijing,Rowing,Double Sculls,Gold
543,Anna Schmidt,F,32,USA,GER,2000,Winter,Rio,Cycling,Judo -60kg,Silver
544,John Doe,M,20,GER,UKR,2008,Summer,Athens,Judo,Double Sculls,Bronze
545,Maria Ivanova,M,36,GER,CAN,2004,Summer,Tokyo,Judo,Marathon,Gold
546,Maria Ivanova,F,35,FRA,FRA,2000,Summer,Rio,Athletics,Double Sculls,
547,John Doe,F,25,CAN,GER,2016,Summer,London,Athletics,Sprint,
548,Tom Lee,M,34,USA,FRA,2004,Summer,Beijing,Cycling,100m freestyle,Gold
549,Maria Ivanova,M,25,UKR,FRA,2000,Summer,Beijing,Cycling,Double Sculls,Gold
550,Kate Novak,F,24,USA,USA,2012,Summer,Tokyo,Boxing,Double Sculls,Silver
551,Kate Novak,F,24,CHN,USA,2020,Summer,Tokyo,Swimming,Double Sculls,Bronze
552,John Doe,F,20,USA,UKR,2012,Summer,Rio,Swimming,100m freestyle,Silver
553,Anna Schmidt,F,18,USA,CAN,2000,Summer,Athens,Cycling,Lightweight Boxing,Gold
554,Anna Schmidt,M,21,FRA,CAN,2008,Summer,London,Athletics,100m freestyle,Bronze
555,John Doe,M,22,UKR,CAN,2008,Summer,Beijing,Rowing,Lightweight Boxing,
556,Anna Schmidt,M,18,CHN,BRA,2004,Summer,Tokyo,Boxing,Sprint,Silver
557,Tom Lee,F,32,BRA,GER,2012,Summer,London,Swimming,100m freestyle,Silver
558,Tom Lee,F,22,FRA,CAN,2008,Summer,Athens,Cycling,Lightweight Boxing,
559,Anna Schmidt,M,30,BRA,GER,2008,Summer,Beijing,Athletics,Sprint,Bronze
560,Kate Novak,M,25,FRA,UKR,2012,Summer,Beijing,Athletics,Sprint,Bronze
561,Anna Schmidt,M,25,GER,FRA,2016,Summer,Athens,Athletics,Lightweight Boxing,Bronze
562,Tom Lee,M,22,FRA,CAN,2008,Winter,Beijing,Rowing,Lightweight Boxing,
563,Liu Wei,F,26,CAN,UKR,2020,Winter,Athens,Judo,Marathon,Bronze
564,Carlos Gomez,M,18,USA,CAN,2000,Summer,Beijing,Rowing,Sprint,
565,Maria Ivanova,M,21,GER,USA,2004,Summer,Rio,Athletics,Lightweight Boxing,Bronze
566,Liu Wei,M,20,UKR,CHN,2008,Summer,Athens,Cycling,Sprint,Bronze
567,Anna Schmidt,M,19,BRA,UKR,2020,Winter,London,Boxing,100m freestyle,Silver
568,Kate Novak,M,25,FRA,CAN,2020,Summer,Rio,Rowing,Judo -60kg,Silver
569,John Doe,M,26,USA,CHN,2008,Winter,London,Cycling,Judo -60kg,
570,Anna Schmidt,M,19,UKR,UKR,2016,Summer,Beijing,Athletics,Double Sculls,Silver
571,Kate Novak,F,31,CAN,BRA,2000,Summer,London,Boxing,Lightweight Boxing,Bronze
572,Carlos Gomez,F,31,UKR,CAN,2004,Winter,Rio,Swimming,Lightweight Boxing,Gold
573,Anna Schmidt,F,21,USA,BRA,2008,Summer,Athens,Swimming,Sprint,
574,Tom Lee,F,23,CAN,USA,2004,Summer,Tokyo,Cycling,Double Sculls,Gold
575,John Doe,M,28,UKR,CAN,2012,Summer,London,Boxing,Lightweight Boxing,
576,Kate Novak,F,20,CAN,FRA,2020,Summer,Tokyo,Cycling,Sprint,Bronze
577,Kate Novak,F,25,FRA,USA,2020,Summer,London,Boxing,Lightweight Boxing,Gold
578,Kate Novak,M,20,FRA,CHN,2008,Summer,London,Boxing,Sprint,Bronze
579,Carlos Gomez,M,31,USA,UKR,2008,Summer,Athens,Cycling,Lightweight Boxing,Silver
580,Anna Schmidt,F,30,USA,GER,2012,Summer,Beijing,Boxing,Marathon,Silver
581,Carlos Gomez,F,30,CAN,USA,2016,Winter,Rio,Rowing,Sprint,Silver
582,Maria Ivanova,M,19,CHN,GER,2008,Summer,Rio,Athletics,Marathon,Gold
583,Maria Ivanova,F,30,GER,GER,2020,Summer,Rio,Boxing,Marathon,
584,Anna Schmidt,M,36,UKR,UKR,2004,Summer,Beijing,Rowing,Marathon,Gold
585,Tom Lee,M,23,UKR,CHN,2000,Summer,Tokyo,Boxing,Marathon,Bronze
586,Carlos Gomez,M,33,CHN,UKR,2004,Summer,Rio,Rowing,100m freestyle,Silver
587,John Doe,M,19,CHN,CAN,2016,Winter,Tokyo,Cycling,Double Sculls,Bronze
588,Kate Novak,F,25,CHN,USA,2000,Summer,Beijing,Swimming,Judo -60kg,Silver
589,Kate Novak,M,34,BRA,GER,2004,Summer,Beijing,Judo,100m freestyle,Bronze
